"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"11/22/2025 23:40:36","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","93.123.109.123","43130","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","46","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:93.123.109.123 Country Name:Bulgaria",""
"11/22/2025 23:41:01","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","A4:BF:01:58:55:22","INTEL CORPORATE","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.131","17225","","0.0.0.0","0","","40.79.173.40","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","15","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:40.79.173.40 Country Name:Australia",""
"11/22/2025 23:42:04","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","A4:BF:01:58:55:22","INTEL CORPORATE","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.131","17395","","0.0.0.0","0","","40.79.173.40","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","15","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:40.79.173.40 Country Name:Australia",""
"11/22/2025 23:43:16","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","A4:BF:01:58:55:22","INTEL CORPORATE","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.131","17618","","0.0.0.0","0","","40.79.173.40","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","15","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:40.79.173.40 Country Name:Australia",""
"11/22/2025 23:44:20","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","A4:BF:01:58:55:22","INTEL CORPORATE","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.131","17771","","0.0.0.0","0","","40.79.173.40","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","15","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:40.79.173.40 Country Name:Australia",""
"11/22/2025 23:47:02","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50431","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
"11/22/2025 23:51:14","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","206.189.143.15","61008","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","46","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:206.189.143.15 Country Name:India",""
"11/22/2025 23:51:43","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50473","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
"11/22/2025 23:53:55","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50487","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
"11/22/2025 23:56:50","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50510","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
