"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"09/05/2025 06:01:53","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hetty","0s"," ","","","","","","","","","NA","","hetty via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:01:55","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","ibrahim","0s"," ","","","","","","","","","NA","","ibrahim via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:01:56","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","abrahan","0s"," ","","","","","","","","","NA","","abrahan via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:01:57","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","eloise","0s"," ","","","","","","","","","NA","","eloise via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:01:57","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hezekiah","0s"," ","","","","","","","","","NA","","hezekiah via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:01:59","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","ida","0s"," ","","","","","","","","","NA","","ida via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:02:00","1154","Security Services","Application Control","Application Control Detection Alert","Standard Application Control Message String","Alert","2048","00:15:5D:01:51:04","MICROSOFT CORPORATION","X0","LAN","18:C2:41:40:22:80","SONICWALL","X1","WAN","192.168.1.225","54813","","0.0.0.0","0","","208.67.220.220","53","dns.opendns.com","0.0.0.0","0","","udp","","","86","","Default Access Rule_7","23","","","","10520","3","","","","","","General DNS","NA","","","Application Control Detection Alert: MISC-APPS Google API -- DNS Query, SID: 10520, AppID: 1854, CatID: 53",""
"09/05/2025 06:02:00","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","absalom","0s"," ","","","","","","","","","NA","","absalom via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:02:02","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hick","0s"," ","","","","","","","","","NA","","hick via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:02:02","1154","Security Services","Application Control","Application Control Detection Alert","Standard Application Control Message String","Alert","2048","A0:FF:70:C0:46:17","VANTIVA USA LLC","X1","LAN","18:C2:41:40:22:81","SONICWALL","X0","WAN","208.67.220.220","443","dns.opendns.com","0.0.0.0","0","","192.168.1.70","60358","ATN61680","0.0.0.0","0","","udp","","","844","","Default Access Rule_7","23","","","","7","3","","","","","","General HTTPS","NA","","","Application Control Detection Alert: PROXY-ACCESS Encrypted Key Exchange -- UDP Random Encryption(UltraSurf), SID: 7, AppID: 2900, CatID: 27",""
"09/05/2025 06:02:03","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","elroy","0s"," ","","","","","","","","","NA","","elroy via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:02:04","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","ignatius","0s"," ","","","","","","","","","NA","","ignatius via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:02:04","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","abundius","0s"," ","","","","","","","","","NA","","abundius via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:02:06","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hilary","0s"," ","","","","","","","","","NA","","hilary via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:02:08","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","ike","0s"," ","","","","","","","","","NA","","ike via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:02:08","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","elsa","0s"," ","","","","","","","","","NA","","elsa via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:02:08","36","Network","TCP","TCP Packets Dropped","Standard Policy","Notice","2048","A0:FF:70:C0:46:17","VANTIVA USA LLC","X1","WAN","18:C2:41:40:22:81","SONICWALL","X1","WAN","194.180.49.131","47042","","","","","50.247.194.233","53335","","","","","tcp","","","46","","","24","","","","","","","","","","","","drop","","TCP Flag(s): SYN","TCP packet dropped",""
"09/05/2025 06:02:10","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","acc","0s"," ","","","","","","","","","NA","","acc via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:02:10","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hilda","0s"," ","","","","","","","","","NA","","hilda via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:02:12","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","ima","0s"," ","","","","","","","","","NA","","ima via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:02:14","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hildegarde","0s"," ","","","","","","","","","NA","","hildegarde via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:02:15","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","accounting","0s"," ","","","","","","","","","NA","","accounting via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:02:16","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","elsie","0s"," ","","","","","","","","","NA","","elsie via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:02:16","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","immanuel","0s"," ","","","","","","","","","NA","","immanuel via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:02:18","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hillary","0s"," ","","","","","","","","","NA","","hillary via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:02:19","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.33","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","accounts","0s"," ","","","","","","","","","NA","","accounts via SSl VPN Portal from 185.93.89.33","User login denied due to bad credentials",""
"09/05/2025 06:02:20","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.31","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","imogen","0s"," ","","","","","","","","","NA","","imogen via SSl VPN Portal from 185.93.89.31","User login denied due to bad credentials",""
"09/05/2025 06:02:20","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","80.94.95.132","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","elspeth","0s"," ","","","","","","","","","NA","","elspeth via SSl VPN Portal from 80.94.95.132","User login denied due to bad credentials",""
"09/05/2025 06:02:21","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","97","","","","","","","","","","","","","","NA","","Source: 50.247.194.233, 17394, Destination: 208.67.220.220, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"09/05/2025 06:02:21","1154","Security Services","Application Control","Application Control Detection Alert","Standard Application Control Message String","Alert","2048","00:15:5D:01:51:04","MICROSOFT CORPORATION","X0","LAN","18:C2:41:40:22:80","SONICWALL","X1","WAN","192.168.1.225","53892","","0.0.0.0","0","","208.67.220.220","53","dns.opendns.com","0.0.0.0","0","","udp","","","97","","Default Access Rule_7","23","","","","6820","3","","","","","","General DNS","NA","","","Application Control Detection Alert: PROTOCOLS DNS Protocol -- Standard Query (.net Domains), SID: 6820, AppID: 1283, CatID: 74",""
"09/05/2025 06:02:21","1154","Security Services","Application Control","Application Control Detection Alert","Standard Application Control Message String","Alert","2048","A0:FF:70:C0:46:17","VANTIVA USA LLC","X1","LAN","18:C2:41:40:22:81","SONICWALL","X0","WAN","208.67.220.220","53","dns.opendns.com","0.0.0.0","0","","192.168.1.225","53892","","0.0.0.0","0","","udp","","","143","","Default Access Rule_7","23","","","","4398","3","","","","","","General DNS","NA","","","Application Control Detection Alert: PROTOCOLS DNS Protocol -- Standard Query Response (Non-Authoritative), SID: 4398, AppID: 1283, CatID: 74",""
"09/05/2025 06:02:23","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.93.89.38","","","","","","50.247.194.233","4433","","","","","tcp","","","","","","","hilma","0s"," ","","","","","","","","","NA","","hilma via SSl VPN Portal from 185.93.89.38","User login denied due to bad credentials",""
"09/05/2025 06:02:23","1154","Security Services","Application Control","Application Control Detection Alert","Standard Application Control Message String","Alert","2048","A0:FF:70:C0:46:17","VANTIVA USA LLC","X1","LAN","18:C2:41:40:22:81","SONICWALL","X0","WAN","3.221.85.201","443","ec2-3-221-85-201.compute-1.amazonaws.com","0.0.0.0","0","","192.168.1.226","54083","","0.0.0.0","0","","tcp","","","1500","","Default Access Rule_7","23","","","","7927","3","","","","","","General HTTPS","NA","","","Application Control Detection Alert: PROTOCOLS SSL/TLS Protocol -- TLSv1.2 Version, SID: 7927, AppID: 1279, CatID: 74",""
